company,дугаар,цаг,хэсэг,нэр_дэвшигч,асуугч,хариулагч,асуулт,хариулт
Master Time,34.0,40:23,Мастер цаг - албан ёсны ярилцлага,Гэрэл-Элемес,Ярилцлага авагч (брэнд менежер),Гэрэл-Элемес,Та яагаад энэ ажилд ажиллахыг хүсч байна вэ?,"Зах зээлийн онцлог, хэрэглэгчдийн сэтгэл зүйн онцлогийг ойлгож, борлуулж сурмаар байна. Би сургуульд 10 жил сурсан, их ярьдаг хүн."
Master Time,35.0,41:18,Мастер цаг - албан ёсны ярилцлага,Гэрэл-Элемес,Ярилцлага авагч (брэнд менежер),Гэрэл-Элемес,Боловсролынхоо талаар бидэнд ярина уу.,"Би 21 настайгаасаа уул уурхайн технологийн инженерийн хамтарсан бэлтгэл ангид суралцсан. Би хоёр жил англи хэл сурч, англи хэлээ ахиулсан. Дараа нь би архитектурын чиглэлээр суралцсан бөгөөд одоо 23 настайдаа буцаж очоод төгсөхийг хүсч байна."
Master Time,36.0,42:11,Мастер цаг - албан ёсны ярилцлага,Гэрэл-Элемес,Ярилцлагын самбар,Гэрэл-Элемес,Та зөөгч эсвэл үйлчилгээний чиглэлээр ажиллаж байсан уу?,Манай эгч зөөгч байсан бөгөөд өөр компанид ажилладаг байсан. Бизнес зарах нь бас нэлээд ур чадвар шаарддаг ажил юм.
Master Time,37.0,43:07,Мастер цаг - албан ёсны ярилцлага,Гэрэл-Элемес,Ярилцлагын самбар,Гэрэл-Элемес,"Та яагаад өмнөх албан тушаалаа орхисон бэ, юу таныг ийм боломж руу татсан бэ?","Мэргэжлээ судалж, ахин диплом авсны дараа гэрийнхэн маань намайг юу хүссэнээ хийж чадна гэдэг. Тиймээс арай өөр замаар явж, чанартай үйлчилгээ үзүүлдэг байгууллагад орвол зүгээр юм байна гэж бодсон."
Master Time,38.0,43:36,Мастер цаг - албан ёсны ярилцлага,Сумъяа,Ярилцлагын самбар,Сумъяа,Та яагаад одоогийн ажлын байранд орохоор шийдсэн бэ?,"Хэрэглэгчийн зан үйлийн үндсийг мэдэхийн тулд жилийн өмнө Монгол руу бүтээгдэхүүнээ оруулж ирдэг компани гэдгийг мэдэж байсан. Хэсэг хугацаанд би өдөр бүр хайж байсан бөгөөд 10 сарын хугацаанд Мастер тайм дахь ажлын байрыг олж хараагүй. Би үүнийг олоход энэ нь зүгээр нэг орлуулалт биш, яг миний орохыг хүссэн зүйл байсан."
Master Time,39.0,44:26,Мастер цаг - албан ёсны ярилцлага,Сумъяа,Ярилцлагын самбар,Сумъяа,Компани болон брэндийн талаар та ямар ойлголттой байна вэ?,"Одоогоор Монголд Rolex хямдралтай байгаа. Мөн би хувьдаа Cartier, Messica зэрэг брэндүүдийг судалж үзсэн. Cartier брэнд нь анх 1847 онд Парист үүсгэн байгуулагдсан. Мастер цагийг хайж олоход хамгийн түрүүнд Rolex гарч ирээд, ямар нэр хүндтэй юм бэ гэж бодсон. Өнгөрсөн 100 жилийн хугацаанд тэд маш баялаг түүхийг хуримтлуулсан. Rolex-ийг 1905 онд Ханс Вилсдорф анх үүсгэн Лондонд байгуулжээ."
Master Time,40.0,45:35,Мастер цаг - албан ёсны ярилцлага,Олон нэр дэвшигч,Ярилцагч (захирал),Олон нэр дэвшигч,"Та өөрийгөө, өөрийгөө хэн бэ, цаашид энэ ажлыг хийж чадах эсэхээ бүрэн харуулж чадах уу? Судалгааны явцад таны олсон хамгийн сонирхолтой Rolex загвар юу байсан бэ?","Миний сонирхсон анхны загвар бол Oyster Perpetual, ус нэвтэрдэггүй загвар юм. Хясаан загвар нь үндсэн ойлголт юм. Ярилцлагад оролцогчид маш мэргэжлийн бөгөөд сэдвийг сайн мэддэг."
Master Time,41.0,46:31,Мастер цаг - албан ёсны ярилцлага,Олон нэр дэвшигч,Ярилцлагын самбар,Олон нэр дэвшигч,Таны дуртай Rolex загвар юу вэ?,"Шумбагч онгоц. 1000 метр хүртэл усны хамгаалалттай, гурвалжин, дөрвөлжин хэсэгтэй цэвэрхэн. Энэ бол цагаан алт 950. Би эхэндээ тайван байсан ч хэд хэдэн шалтгааны улмаас сандарсан."
Master Time,42.0,47:05,Мастер цаг - албан ёсны ярилцлага,Олон нэр дэвшигч,Ярилцлагын самбар,Олон нэр дэвшигч,Залуу эмэгтэйчүүдэд тохирсон загваруудын үнийг судалж үзсэн үү?,"Үнийн хувьд Cartier-тай харьцуулахад илүү боломжийн. Би яг сайн санахгүй байна, гэхдээ ерөнхийдөө 1500 еврогоос эхэлдэг гэж бодож байна. Би юм хайхад бүгд англи хэл дээр байдаг нь намайг сурахад тусалсан."
Master Time,43.0,49:20,Мастер цаг - албан ёсны ярилцлага,Олон нэр дэвшигч,Ярилцлагын самбар,Олон нэр дэвшигч,Алмазыг хэрхэн ангилдаг вэ?,"Алмазыг карат, хэмжээ, өнгө, зүсэлт, тунгалаг байдал, ил тод байдал зэргийг харгалзан шалгадаг. Чулуун дотроос гүн гүнзгий тогтсон чулуун дотроос хамгийн нандин төрөл юм. Дөрвөн C нь алмазыг гялалзсан гэж нэрлэдэг эсэхийг тодорхойлдог."
